Fecha;Post_ID;URL;Tipo_Error;Detalle_Error
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/5055402247034350967_121d0342ac5348a98a1-md-TMzMyveU.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/5055402247034350967_121d0342ac5348a98a1-md-TMzMyveU.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/5055402247034350964_121069c9108471c6660-md-64qw1OOZ.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/5055402247034350964_121069c9108471c6660-md-64qw1OOZ.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/5055402247034350963_1217afae307d16b13ba-md-nfGRg7pY.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/5055402247034350963_1217afae307d16b13ba-md-nfGRg7pY.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/5055402247034350961_1215607ba561c59076a-md-iSzVzcyh.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/5055402247034350961_1215607ba561c59076a-md-iSzVzcyh.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/IMG_20240412_185316_1514e87484c6a8b2636-Dmegva8I.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/IMG_20240412_185316_1514e87484c6a8b2636-Dmegva8I.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/IMG_20240412_185307_124df18dae02510e6d6-Gz1tB3dZ.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/IMG_20240412_185307_124df18dae02510e6d6-Gz1tB3dZ.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/IMG_20240412_185307_5205dea517cfdc589c8-BFcIumE7.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/IMG_20240412_185307_5205dea517cfdc589c8-BFcIumE7.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/IMG_20240412_185327_403ed0110f76b032f46-gs93G2bp.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/IMG_20240412_185327_403ed0110f76b032f46-gs93G2bp.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/5019438089273191878_121450b9e75157443a5-rYtoCeNE.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/5019438089273191878_121450b9e75157443a5-rYtoCeNE.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/4979227544591118100_1214b5142cbb2623d6f-G4dq2YFr.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/4979227544591118100_1214b5142cbb2623d6f-G4dq2YFr.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/4979227544591118099_12120d3d84feae4be4c-5mnCJnNn.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/4979227544591118099_12120d3d84feae4be4c-5mnCJnNn.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ke.scdn.st/4979227544591118098_12180921eecf2cd17ea-SoyGIujN.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ke.scdn.st/4979227544591118098_12180921eecf2cd17ea-SoyGIujN.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ck.scdn.st/4f4ed7ea-5fcf-4a3a-b6a7-bbab8a2a3451.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ck.scdn.st/4f4ed7ea-5fcf-4a3a-b6a7-bbab8a2a3451.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ck.scdn.st/2cd7d377-462f-4fe3-92d6-2d89b2e93e12.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ck.scdn.st/2cd7d377-462f-4fe3-92d6-2d89b2e93e12.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ck.scdn.st/a90eea1f-0f3d-423f-8ab7-1c68f9ea6678.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ck.scdn.st/a90eea1f-0f3d-423f-8ab7-1c68f9ea6678.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ck.scdn.st/1a2b78f1-c405-4d0e-a964-82ddfaadbdfa.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ck.scdn.st/1a2b78f1-c405-4d0e-a964-82ddfaadbdfa.jpg'
2026-05-21 20:20:28;Desconocido;https://c2ck.scdn.st/03995fbd-0113-439e-bec6-a724f6b64b72.jpg;TRANSITORIO;[downloader.http][warning] '429 Too Many Requests' for 'https://c2ck.scdn.st/03995fbd-0113-439e-bec6-a724f6b64b72.jpg'
2026-05-21 20:20:28;Desconocido;https://bunkr.fi/a/Eyuupqqs;TRANSITORIO;[bunkr][error] HttpError: '503 Service Unavailable' for 'https://bunkr.fi/a/Eyuupqqs'
2026-05-21 20:20:28;Desconocido;https://bunkr.fi/a/X5Tb6QmU;TRANSITORIO;[bunkr][error] HttpError: '503 Service Unavailable' for 'https://bunkr.fi/a/X5Tb6QmU'
